skeleton_id,service_sequence,edge_count,communication_margin,drone_type
SK-00396,S001>S015>S007,4,1.935778272530612,C
SK-00397,S001>S015>S008,4,1.935778272530612,C
SK-00398,S001>S015>S009,4,1.935778272530612,C
SK-00399,S001>S015>S010,4,1.935778272530612,C
SK-00400,S001>S015>S011,4,1.935778272530612,C
SK-00401,S001>S015>S012,4,0.0665317100486219,C
SK-00402,S001>S015>S013,4,1.935778272530612,C
SK-00403,S001>S015>S014,4,1.935778272530612,C
SK-00404,S002>S001>S003,4,1.322380853485683e-06,C
SK-00405,S002>S001>S004,4,1.322380853485683e-06,C
SK-00406,S002>S001>S005,4,1.322380853485683e-06,C
SK-00407,S002>S001>S006,4,1.322380853485683e-06,C
SK-00408,S002>S001>S007,4,1.322380853485683e-06,C
SK-00409,S002>S001>S008,4,1.322380853485683e-06,C
SK-00410,S002>S001>S009,4,1.322380853485683e-06,C
SK-00411,S002>S001>S010,4,1.322380853485683e-06,C
SK-00412,S002>S001>S011,4,1.322380853485683e-06,C
SK-00413,S002>S001>S012,4,1.322380853485683e-06,C
SK-00414,S002>S001>S013,4,1.322380853485683e-06,C
SK-00415,S002>S001>S014,4,1.322380853485683e-06,C
SK-00416,S002>S001>S015,4,1.322380853485683e-06,C
SK-00417,S002>S003>S001,4,1.322380853485683e-06,C
SK-00418,S002>S003>S004,4,1.322380853485683e-06,C
SK-00419,S002>S003>S005,4,1.322380853485683e-06,C
SK-00420,S002>S003>S006,4,1.322380853485683e-06,C
SK-00421,S002>S003>S007,4,1.322380853485683e-06,C
SK-00422,S002>S003>S008,4,1.322380853485683e-06,C
SK-00423,S002>S003>S009,4,1.322380853485683e-06,C
