interval_id,t_start,t_end,phase,start_xyz,end_xyz,crossed_dem_cells,partition_reason
59,101.37223733680351,102.22270770900666,cruise,"[11179953.814933019, 2559023.43591404, 273.0566101074219]","[11179959.091484217, 2559035.0505803977, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
60,102.22270770900666,103.0731780812098,cruise,"[11179959.091484217, 2559035.0505803977, 273.0566101074219]","[11179964.368035419, 2559046.665246755, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
61,103.0731780812098,104.20402944481937,cruise,"[11179964.368035419, 2559046.665246755, 273.0566101074219]","[11179971.384147106, 2559062.1090078987, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
62,104.20402944481937,105.33488080842893,cruise,"[11179971.384147106, 2559062.1090078987, 273.0566101074219]","[11179978.400258794, 2559077.552769042, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
63,105.33488080842893,105.64474749651218,cruise,"[11179978.400258794, 2559077.552769042, 273.0566101074219]","[11179980.322756624, 2559081.7845427934, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
64,105.64474749651218,105.95461418459543,cruise,"[11179980.322756624, 2559081.7845427934, 273.0566101074219]","[11179982.245254453, 2559086.0163165447, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
65,105.95461418459543,106.77559886012175,cruise,"[11179982.245254453, 2559086.0163165447, 273.0566101074219]","[11179987.33886831, 2559097.228303937, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
66,106.77559886012175,107.59658353564807,cruise,"[11179987.33886831, 2559097.228303937, 273.0566101074219]","[11179992.432482172, 2559108.4402913293, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
67,107.59658353564807,108.72743489924316,cruise,"[11179992.432482172, 2559108.4402913293, 273.0566101074219]","[11179999.448593857, 2559123.884052473, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
68,108.72743489924316,109.85828626283826,cruise,"[11179999.448593857, 2559123.884052473, 273.0566101074219]","[11180006.464705545, 2559139.327813616, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
69,109.85828626283826,110.19763864737837,cruise,"[11180006.464705545, 2559139.327813616, 273.0566101074219]","[11180008.570140716, 2559143.9622663297, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
70,110.19763864737837,110.53699103191848,cruise,"[11180008.570140716, 2559143.9622663297, 273.0566101074219]","[11180010.675575884, 2559148.5967190424, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
71,110.53699103191848,111.3284900110024,cruise,"[11180010.675575884, 2559148.5967190424, 273.0566101074219]","[11180015.586252403, 2559159.406027473, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
72,111.3284900110024,112.11998899008631,cruise,"[11180015.586252403, 2559159.406027473, 273.0566101074219]","[11180020.496928923, 2559170.2153359037, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
73,112.11998899008631,113.25084035368141,cruise,"[11180020.496928923, 2559170.2153359037, 273.0566101074219]","[11180027.51304061, 2559185.659097047, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
74,113.25084035368141,114.38169171727651,cruise,"[11180027.51304061, 2559185.659097047, 273.0566101074219]","[11180034.529152298, 2559201.102858191, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
75,114.38169171727651,114.75052979825901,cruise,"[11180034.529152298, 2559201.102858191, 273.0566101074219]","[11180036.817524806, 2559206.139989866, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
76,114.75052979825901,115.11936787924151,cruise,"[11180036.817524806, 2559206.139989866, 273.0566101074219]","[11180039.105897315, 2559211.177121541, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
77,115.11936787924151,115.8813811618541,cruise,"[11180039.105897315, 2559211.177121541, 273.0566101074219]","[11180043.833636496, 2559221.583751009, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
78,115.8813811618541,116.6433944444667,cruise,"[11180043.833636496, 2559221.583751009, 273.0566101074219]","[11180048.561375674, 2559231.990380477, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
79,116.6433944444667,117.77424580809071,cruise,"[11180048.561375674, 2559231.990380477, 273.0566101074219]","[11180055.577487363, 2559247.434141621, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
80,117.77424580809071,118.90509717171474,cruise,"[11180055.577487363, 2559247.434141621, 273.0566101074219]","[11180062.593599051, 2559262.877902765, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
81,118.90509717171474,119.30342094937409,cruise,"[11180062.593599051, 2559262.877902765, 273.0566101074219]","[11180065.0649089, 2559268.317713405, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
82,119.30342094937409,119.70174472703341,cruise,"[11180065.0649089, 2559268.317713405, 273.0566101074219]","[11180067.536218746, 2559273.7575240447, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
83,119.70174472703341,120.43427231296917,cruise,"[11180067.536218746, 2559273.7575240447, 273.0566101074219]","[11180072.081020588, 2559283.7614745484, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
84,120.43427231296917,121.16679989890493,cruise,"[11180072.081020588, 2559283.7614745484, 273.0566101074219]","[11180076.625822427, 2559293.7654250516, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
85,121.16679989890493,122.29765126251449,cruise,"[11180076.625822427, 2559293.7654250516, 273.0566101074219]","[11180083.641934115, 2559309.209186196, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
86,122.29765126251449,123.42850262612406,cruise,"[11180083.641934115, 2559309.209186196, 273.0566101074219]","[11180090.658045802, 2559324.6529473388, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
87,123.42850262612406,123.85631210024025,cruise,"[11180090.658045802, 2559324.6529473388, 273.0566101074219]","[11180093.312292991, 2559330.4954369413, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
88,123.85631210024025,124.28412157435645,cruise,"[11180093.312292991, 2559330.4954369413, 273.0566101074219]","[11180095.966540178, 2559336.337926543, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
89,124.28412157435645,124.98716346384981,cruise,"[11180095.966540178, 2559336.337926543, 273.0566101074219]","[11180100.32840468, 2559345.939198084, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
