interval_id,t_start,t_end,phase,dem_cells,distance_max_method,distance_max_km,fspl_upper_bound,obstacle_loss_db,path_loss_upper_bound,threshold,margin_lower_bound,los_clearance_lower_bound,los_state_known,continuous_certified
245,243.29874716833257,243.36233338865392,cruise,3,endpoints,2.781121945725131,108.93862547591232,10.0,118.93862547591232,122.0,3.0613745240876824,-24.193271926331136,True,True
246,243.36233338865392,243.4259196089753,cruise,3,endpoints,2.7820747699704365,108.94160078911553,10.0,118.94160078911553,122.0,3.058399210884474,-24.204758427777506,True,True
247,243.4259196089753,244.4931847522635,cruise,3,endpoints,2.798067580455974,108.99138882623089,10.0,118.99138882623089,122.0,3.0086111737691112,-24.396384051362418,True,True
248,244.4931847522635,245.56044989555167,cruise,3,endpoints,2.814060574788955,109.04089366858364,10.0,119.04089366858364,122.0,2.959106331416365,-24.58582722117586,True,True
249,245.56044989555167,246.69130125916124,cruise,3,endpoints,2.8310066073314246,109.09304249369404,10.0,119.09304249369404,122.0,2.9069575063059574,-24.784217033047298,True,True
250,246.69130125916124,247.82215262277077,cruise,3,endpoints,2.8479528391622284,109.14488070023363,10.0,119.14488070023363,122.0,2.855119299766372,-24.980241282180998,True,True
251,247.82215262277077,247.91522453953456,cruise,3,endpoints,2.849347565509601,109.1491333948469,10.0,119.1491333948469,122.0,2.850866605153101,-24.996270521452004,True,True
252,247.91522453953456,248.00829645629832,cruise,3,endpoints,2.8507422931801742,109.15338401235078,10.0,119.15338401235078,122.0,2.8466159876492156,-25.01228404569497,True,True
253,248.00829645629832,249.04607590312966,cruise,3,endpoints,2.8662940090466065,109.20063955306958,10.0,119.20063955306958,122.0,2.7993604469304216,-25.189781879042442,True,True
254,249.04607590312966,250.083855349961,cruise,3,endpoints,2.881845886624113,109.24763987816809,10.0,119.24763987816809,122.0,2.752360121831913,-25.36536033715987,True,True
255,250.083855349961,251.21470671357056,cruise,3,endpoints,2.898792695428626,109.29856799989987,10.0,119.29856799989987,122.0,2.7014320001001266,-25.55453631654433,True,True
256,251.21470671357056,252.34555807718013,cruise,3,endpoints,2.9157396898656422,109.3491998067033,10.0,119.3491998067033,122.0,2.6508001932967034,-25.74150913728124,True,True
257,252.34555807718013,252.46811569051795,cruise,3,endpoints,2.917576355331066,109.35466944830621,10.0,119.35466944830621,122.0,2.645330551693789,-25.761641880523428,True,True
258,252.46811569051795,252.5906733038558,cruise,3,endpoints,2.919413022932937,109.36013565411346,10.0,119.36013565411346,122.0,2.6398643458865365,-25.781749245041738,True,True
259,252.5906733038558,253.5989670541275,cruise,3,endpoints,2.9345235517597548,109.40497682230425,10.0,119.40497682230425,122.0,2.595023177695751,-25.946217444348065,True,True
260,253.5989670541275,254.60726080439923,cruise,3,endpoints,2.949634222835781,109.44958810394293,10.0,119.44958810394293,122.0,2.5504118960570707,-26.108997479544115,True,True
261,254.60726080439923,255.7381121679943,cruise,3,endpoints,2.966581755151942,109.49935126287166,10.0,119.49935126287166,122.0,2.500648737128344,-26.289586912129153,True,True
262,255.7381121679943,256.86896353158943,cruise,3,endpoints,2.9835294606614973,109.54883144649241,10.0,119.54883144649241,122.0,2.4511685535075856,-26.468121057758538,True,True
263,256.86896353158943,257.02100684150133,cruise,3,endpoints,2.985808097871648,109.55546266548441,10.0,119.55546266548441,122.0,2.444537334515587,-26.491970186752383,True,True
264,257.02100684150133,257.17305015141324,cruise,3,endpoints,2.988086738154038,109.5620888346825,10.0,119.5620888346825,122.0,2.4379111653175016,-26.515782878097014,True,True
265,257.17305015141324,258.15185820512534,cruise,3,endpoints,3.002755996312991,109.60462569226269,10.0,119.60462569226269,122.0,2.3953743077373133,-26.66821490832922,True,True
266,258.15185820512534,259.13066625883744,cruise,3,endpoints,3.0174253795915127,109.64695561172522,10.0,119.64695561172522,122.0,2.353044388274782,-26.819162256073923,True,True
267,259.13066625883744,260.26151762243256,cruise,3,endpoints,3.0343735873374507,109.6956058222507,10.0,119.6956058222507,122.0,2.3043941777493018,-26.99173675169837,True,True
268,260.26151762243256,261.3923689860277,cruise,3,endpoints,3.051321956926584,109.74398551765825,10.0,119.74398551765825,122.0,2.2560144823417545,-27.162390889460056,True,True
269,261.3923689860277,261.573897992382,cruise,3,endpoints,3.0540425952287276,109.75172663300026,10.0,119.75172663300026,122.0,2.24827336699974,-27.189608282219183,True,True
270,261.573897992382,261.7554269987363,cruise,3,endpoints,3.056763237621413,109.75946086700321,10.0,119.75946086700321,122.0,2.240539132996787,-27.216777144167736,True,True
271,261.7554269987363,262.0643708458029,cruise,3,endpoints,3.0613935027541337,109.77260795731907,10.0,119.77260795731907,122.0,2.2273920426809326,-27.262904561892924,True,True
272,262.0643708458029,262.3733146928695,cruise,3,endpoints,3.066023779648812,109.78573521139775,10.0,119.78573521139775,122.0,2.21426478860225,-27.308892423866922,True,True
