route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S008->S005->S009->O01,S008->S005->S009,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,True,True,10,5,-6.213629794260157,False,False,False,False,3.053034694702756,0.0,3.053034694702756,2201.812389845567
O01->S008->S005->S009->O01,S008->S005->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,True,False,10,5,-6.213629794260157,False,False,False,False,3.44617883175308,0.0,3.44617883175308,2261.812389845567
O01->S008->S005->S009->O01,S008->S005->S009,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,True,10,5,-6.213629794260157,False,False,False,False,6.237254747993541,0.0,6.237254747993541,2315.2938260027936
O01->S008->S005->S009->O01,S008->S005->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,False,10,5,-6.213629794260157,False,False,False,False,6.424368005082713,0.0,6.424368005082713,2381.2938260027936
O01->S008->S005->S010->O01,S008->S005->S010,"[""S008-MED-01"", ""S005-MED-01"", ""S010-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.488352006675738,0.0,3.488352006675738,2477.33509777625
O01->S008->S005->S010->O01,S008->S005->S010,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S010-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.881496143726062,0.0,3.881496143726062,2537.33509777625
O01->S008->S005->S010->O01,S008->S005->S010,"[""S008-MED-01"", ""S005-MED-01"", ""S010-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,7.129547192346162,0.0,7.129547192346162,2611.3828140441537
O01->S008->S005->S010->O01,S008->S005->S010,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S010-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,7.316660449435334,0.0,7.316660449435334,2677.3828140441537
O01->S005->S013->S008->O01,S005->S013->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.05328699368704,0.0,4.05328699368704,2636.7152119627603
O01->S005->S013->S008->O01,S005->S013->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.762483589339111,0.0,4.762483589339111,2696.7152119627603
O01->S005->S013->S008->O01,S005->S013->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,8.420495005860891,0.0,8.420495005860891,2740.521509773633
O01->S005->S013->S008->O01,S005->S013->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,8.782435595172135,0.0,8.782435595172135,2806.5215097736323
O01->S008->S005->S013->O01,S008->S005->S013,"[""S008-MED-01"", ""S005-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.299053390418571,0.0,3.299053390418571,2311.2012923870075
O01->S008->S005->S013->O01,S008->S005->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.692197527468895,0.0,3.692197527468895,2371.2012923870075
O01->S008->S005->S013->O01,S008->S005->S013,"[""S008-MED-01"", ""S005-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,6.760534216521624,0.0,6.760534216521624,2423.871756457645
O01->S008->S005->S013->O01,S008->S005->S013,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,6.947647473610796,0.0,6.947647473610796,2489.871756457645
O01->S008->S005->S014->O01,S008->S005->S014,"[""S008-MED-01"", ""S005-MED-01"", ""S014-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.8899138462712255,0.0,3.8899138462712255,2844.13312272832
O01->S008->S005->S014->O01,S008->S005->S014,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S014-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.28305798332155,0.0,4.28305798332155,2904.13312272832
O01->S008->S005->S014->O01,S008->S005->S014,"[""S008-MED-01"", ""S005-MED-01"", ""S014-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,7.909802220331138,0.0,7.909802220331138,3027.1216898263015
O01->S008->S005->S014->O01,S008->S005->S014,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S014-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,8.09691547742031,0.0,8.09691547742031,3093.1216898263015
O01->S005->S015->S008->O01,S005->S015->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S015-MED-01""]",B,True,True,False,10,5,-6.213629794260157,False,False,False,False,3.355996041997981,0.0,3.355996041997981,2590.8494251402985
O01->S005->S015->S008->O01,S005->S015->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S015-MED-01""]",B,True,True,False,10,5,-6.213629794260157,False,False,False,False,3.9097897654570186,0.0,3.9097897654570186,2650.8494251402985
O01->S005->S015->S008->O01,S005->S015->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S015-MED-01""]",C,True,True,False,10,5,-6.213629794260157,False,False,False,False,6.816794829957505,0.0,6.816794829957505,2768.896840301431
O01->S005->S015->S008->O01,S005->S015->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S015-MED-01""]",C,True,True,False,10,5,-6.213629794260157,False,False,False,False,7.109191312820065,0.0,7.109191312820065,2834.896840301431
O01->S008->S005->S015->O01,S008->S005->S015,"[""S008-MED-01"", ""S005-MED-01"", ""S015-MED-01""]",B,True,True,False,10,5,-6.213629794260157,False,False,False,False,3.3292437235269534,0.0,3.3292437235269534,2507.177130774782
O01->S008->S005->S015->O01,S008->S005->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S015-MED-01""]",B,True,True,False,10,5,-6.213629794260157,False,False,False,False,3.722387860577277,0.0,3.722387860577277,2567.177130774782
O01->S008->S005->S015->O01,S008->S005->S015,"[""S008-MED-01"", ""S005-MED-01"", ""S015-MED-01""]",C,True,True,False,10,5,-6.213629794260157,False,False,False,False,6.748785551143811,0.0,6.748785551143811,2668.845314165081
O01->S008->S005->S015->O01,S008->S005->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S015-MED-01""]",C,True,True,False,10,5,-6.213629794260157,False,False,False,False,6.935898808232983,0.0,6.935898808232983,2734.845314165081
O01->S007->S009->S008->O01,S007->S009->S008,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.8133876064787526,0.0,3.8133876064787526,2678.5557000762997
O01->S007->S009->S008->O01,S007->S009->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.472359472920502,0.0,4.472359472920502,2738.5557000762997
O01->S007->S009->S008->O01,S007->S009->S008,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,7.837402176623094,0.0,7.837402176623094,2824.0179813669897
O01->S007->S009->S008->O01,S007->S009->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,8.179333812287052,0.0,8.179333812287052,2890.0179813669897
O01->S008->S007->S009->O01,S008->S007->S009,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.163460852063759,0.0,4.163460852063759,2854.859968384123
O01->S008->S007->S009->O01,S008->S007->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.556604989114083,0.0,4.556604989114083,2914.859968384123
O01->S008->S007->S009->O01,S008->S007->S009,"[""S008-MED-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,8.519671895263631,0.0,8.519671895263631,3008.551395996428
O01->S008->S007->S009->O01,S008->S007->S009,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S009-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,8.706785152352804,0.0,8.706785152352804,3074.551395996428
O01->S007->S013->S008->O01,S007->S013->S008,"[""S008-MED-01"", ""S007-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.3816885676359245,0.0,4.3816885676359245,2840.1585220832844
O01->S007->S013->S008->O01,S007->S013->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S007-MED-01"", ""S013-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,5.166478350756592,0.0,5.166478350756592,2900.1585220832844
O01->S007->S013->S008->O01,S007->S013->S008,"[""S008-MED-01"", ""S007-MED-01"", ""S013-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,9.087156468579867,0.0,9.087156468579867,2958.9908106981934
