service_area,candidate_rank,x,y,altitude,access_margin,backhaul_margin,joint_margin,relay_energy_ok,valid,source,candidate_count_total
S003,5,109.18291346142857,23.031557795714285,369.08489990234375,1.1092543768684635,1.0757518477674495,1.0757518477674495,True,True,local_refine,2844
S003,6,109.18438950666666,23.03380156,404.1606140136719,1.0752145541625993,1.0901779796356976,1.0752145541625993,True,True,local_refine,2844
S003,7,109.18291346142857,23.031557795714285,394.08489990234375,1.1221234325625034,1.0740973299856194,1.0740973299856194,True,True,local_refine,2844
S003,8,109.18291346142857,23.031557795714285,419.08489990234375,1.1332379419534107,1.072266695172857,1.072266695172857,True,True,local_refine,2844
S003,9,109.18438950666666,23.03380156,504.1606140136719,1.071548718773272,1.081484482639965,1.071548718773272,True,True,local_refine,2844
S003,10,109.18291346142857,23.031557795714285,444.08489990234375,1.142584312144436,1.0702601662191,1.0702601662191,True,True,local_refine,2844
S003,11,109.18291346142857,23.031557795714285,469.08489990234375,1.1379960114354333,1.0680779871785688,1.0680779871785688,True,True,local_refine,2844
S003,12,109.18291346142857,23.031557795714285,494.08489990234375,1.1277381409893223,1.0657204231711859,1.0657204231711859,True,True,local_refine,2844
S003,13,109.18438950666666,23.03380156,379.1606140136719,1.0631943310527845,1.091910191155435,1.0631943310527845,True,True,local_refine,2844
S003,14,109.18291346142857,23.031557795714285,519.0848999023438,1.1157188676819914,1.063187760275639,1.063187760275639,True,True,local_refine,2844
S003,15,109.18291346142857,23.031557795714285,544.0848999023438,1.1019528439419162,1.0604803054142735,1.0604803054142735,True,True,local_refine,2844
S003,16,109.18438950666666,23.03380156,529.1606140136719,1.058973531522355,1.0788712709725985,1.058973531522355,True,True,local_refine,2844
S003,17,109.18291346142857,23.031557795714285,569.0848999023438,1.0864567356068022,1.0575983862297988,1.0575983862297988,True,True,local_refine,2844
S003,18,109.18291346142857,23.031557795714285,594.0848999023438,1.0692491558388468,1.0545423509539376,1.0545423509539376,True,True,local_refine,2844
S003,19,109.18291346142857,23.031557795714285,619.0848999023438,1.0503505922409175,1.0513125682683153,1.0503505922409175,True,True,local_refine,2844
S003,20,109.18391346142857,23.033557795714287,382.1451416015625,1.226923568686999,1.0473374825255064,1.0473374825255064,True,True,local_refine,2844
S003,21,109.18391346142857,23.033557795714287,407.1451416015625,1.2391869981833992,1.0456019839730715,1.0456019839730715,True,True,local_refine,2844
S003,22,109.18438950666666,23.03380156,554.1606140136719,1.0446780529482282,1.076082728284561,1.0446780529482282,True,True,local_refine,2844
S003,23,109.18391346142857,23.033557795714287,432.1451416015625,1.2496436482818751,1.043691590706672,1.043691590706672,True,True,local_refine,2844
S003,24,109.18338950666667,23.032801560000003,323.0753479003906,1.234342563185848,1.0427611637136351,1.0427611637136351,True,True,local_refine,2844
S003,25,109.18391346142857,23.033557795714287,457.1451416015625,1.2536735638855845,1.0416065337391842,1.0416065337391842,True,True,local_refine,2844
S003,26,109.18338950666667,23.032801560000003,348.0753479003906,1.2509763201217226,1.0414421273765413,1.0414421273765413,True,True,local_refine,2844
S003,27,109.18338950666667,23.032801560000003,373.0753479003906,1.265825648190571,1.03994805486073,1.03994805486073,True,True,local_refine,2844
S003,28,109.18391346142857,23.033557795714287,482.1451416015625,1.2440172037529038,1.039347064933935,1.039347064933935,True,True,local_refine,2844
S003,29,109.18338950666667,23.032801560000003,398.0753479003906,1.2788719787182856,1.0382791268954747,1.0382791268954747,True,True,local_refine,2844
S003,30,109.18391346142857,23.033557795714287,507.1451416015625,1.2325479962874795,1.036913456903747,1.036913456903747,True,True,local_refine,2844
S003,31,109.18338950666667,23.032801560000003,423.0753479003906,1.2900988747015845,1.0364355451897893,1.0364355451897893,True,True,local_refine,2844
S003,32,109.18338950666667,23.032801560000003,448.0753479003906,1.2994920987918874,1.0344175323513696,1.0344175323513696,True,True,local_refine,2844
S003,33,109.18391346142857,23.033557795714287,532.1451416015625,1.2192803239738197,1.0343060029017295,1.0343060029017295,True,True,local_refine,2844
S003,34,109.18338950666667,23.032801560000003,473.0753479003906,1.2917868087509135,1.032225331797278,1.032225331797278,True,True,local_refine,2844
S003,35,109.18391346142857,23.033557795714287,557.1451416015625,1.2042307142544502,1.031525016704208,1.031525016704208,True,True,local_refine,2844
S003,36,109.18338950666667,23.032801560000003,498.0753479003906,1.2808636287383734,1.0298592076564148,1.0298592076564148,True,True,local_refine,2844
S003,37,109.18438950666666,23.03380156,579.1606140136719,1.0286793380225419,1.0731191931251232,1.0286793380225419,True,True,local_refine,2844
S003,38,109.18391346142857,23.033557795714287,582.1451416015625,1.1874177719873273,1.0285708324854994,1.0285708324854994,True,True,local_refine,2844
S003,39,109.18338950666667,23.032801560000003,523.0753479003906,1.2681184947458206,1.027319444663874,1.027319444663874,True,True,local_refine,2844
S003,40,109.18391346142857,23.033557795714287,607.1451416015625,1.16886210433195,1.0254438046850964,1.0254438046850964,True,True,local_refine,2844
S003,41,109.18338950666667,23.032801560000003,548.0753479003906,1.2535674828184398,1.0246063480473993,1.0246063480473993,True,True,local_refine,2844
S003,42,109.18391346142857,23.033557795714287,632.1451416015625,1.1485862386874004,1.022144307866995,1.022144307866995,True,True,local_refine,2844
S003,43,109.18338950666667,23.032801560000003,573.0753479003906,1.2372288125308017,1.0217202434056958,1.0217202434056958,True,True,local_refine,2844
S003,44,109.18391346142857,23.033557795714287,657.1451416015625,1.1266145343498408,1.018672736571375,1.018672736571375,True,True,local_refine,2844
S003,45,109.18338950666667,23.032801560000003,598.0753479003906,1.219122772370028,1.018661476579112,1.018661476579112,True,True,local_refine,2844
S003,46,109.18338950666667,23.03180156,447.05035400390625,1.0150316709150218,1.1177656891282624,1.0150316709150218,True,True,local_refine,2844
S003,47,109.18191346142858,23.030557795714287,370.5218200683594,1.1908905367715903,1.0114389128388837,1.0114389128388837,True,True,local_refine,2844
S003,48,109.18438950666666,23.03380156,604.1606140136719,1.0109963186696405,1.0699810247327832,1.0109963186696405,True,True,local_refine,2844
S003,49,109.18191346142858,23.030557795714287,395.5218200683594,1.2038994404978212,1.0097986974745794,1.0097986974745794,True,True,local_refine,2844
S003,50,109.18338950666667,23.03180156,472.05035400390625,1.0085236778521676,1.1155383403034733,1.0085236778521676,True,True,local_refine,2844
S004,1,109.23539375857142,23.061003652857142,395.49169921875,0.30472693866575185,0.5866154823125527,0.30472693866575185,True,True,local_refine,2919
S004,2,109.23539375857142,23.061003652857142,420.49169921875,0.30414919122290485,0.5849702910146561,0.30414919122290485,True,True,local_refine,2919
S004,3,109.23539375857142,23.061003652857142,370.49169921875,0.30382370101291656,0.5881031959255836,0.30382370101291656,True,True,local_refine,2919
S004,4,109.23439375857143,23.061003652857142,339.6448669433594,0.30231162342703044,0.6004495185676717,0.30231162342703044,True,True,local_refine,2919
S004,5,109.23539375857142,23.061003652857142,445.49169921875,0.302091049527931,0.5831678011297328,0.302091049527931,True,True,local_refine,2919
S004,6,109.23539375857142,23.061003652857142,345.49169921875,0.3014404018955048,0.5894332697628073,0.3014404018955048,True,True,local_refine,2919
