best_hover_x,best_hover_y,best_hover_altitude,best_AGL,terrain_elevation_m,best_access_margin,best_backhaul_margin,best_joint_margin,pointwise_feasible,transport_x,transport_y,transport_z,candidate_count,block_id,time,phase,interval_start,interval_end,sampling
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,8.23791131644991,5.967614830599572,5.967614830599572,True,11178794.485444726,2562229.887914483,372.9093322753906,28611,1,671.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,8.073273122534118,5.967614830599572,5.967614830599572,True,11178791.058055313,2562244.491099129,372.9093322753906,28611,1,672.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,7.911574772150786,5.967614830599572,5.967614830599572,True,11178787.6306659,2562259.094283775,372.9093322753906,28611,1,673.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,7.752717623323704,5.967614830599572,5.967614830599572,True,11178784.203276487,2562273.697468421,372.9093322753906,28611,1,674.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,7.596607662839318,5.967614830599572,5.967614830599572,True,11178780.775887072,2562288.3006530674,372.9093322753906,28611,1,675.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,7.4431552407318975,5.967614830599572,5.967614830599572,True,11178777.348497659,2562302.9038377134,372.9093322753906,28611,1,676.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,7.292274821520039,5.967614830599572,5.967614830599572,True,11178773.921108246,2562317.5070223594,372.9093322753906,28611,1,677.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,7.1438847513033465,5.967614830599572,5.967614830599572,True,11178770.493718833,2562332.1102070054,372.9093322753906,28611,1,678.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,6.997907039642996,5.967614830599572,5.967614830599572,True,11178767.066329418,2562346.7133916514,372.9093322753906,28611,1,679.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,6.854267155326468,5.967614830599572,5.967614830599572,True,11178763.638940005,2562361.3165762974,372.9093322753906,28611,1,680.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,6.712893835084628,5.967614830599572,5.967614830599572,True,11178760.211550592,2562375.919760944,372.9093322753906,28611,1,681.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,6.573718904458829,5.967614830599572,5.967614830599572,True,11178756.784161177,2562390.52294559,372.9093322753906,28611,1,682.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,6.436677109933484,5.967614830599572,5.967614830599572,True,11178753.356771763,2562405.126130236,372.9093322753906,28611,1,683.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,6.3017059616503985,5.967614830599572,5.967614830599572,True,11178749.92938235,2562419.729314882,372.9093322753906,28611,1,684.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
