route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,volume_ok,transport_reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S015->S008->O01,S015->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.980514320167524,0.0,5.980514320167524,2340.356995586148
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.998175009558081,0.0,5.998175009558081,2138.4327385831566
O01->S005->S008->O01,S005->S008,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.0076576994483,0.0,6.0076576994483,2152.538961939056
O01->S015->S008->O01,S015->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S015-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.0160828261229256,0.0,6.0160828261229256,2406.356995586148
O01->S008->S011->O01,S008->S011,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02"", ""S011-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,6.017632204008203,0.0,6.017632204008203,2204.4327385831566
O01->S008->S004->O01,S008->S004,"[""S004-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,6.024402628591812,0.0,6.024402628591812,2206.8153113051053
O01->S004->S008->O01,S004->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,6.026249146888586,0.0,6.026249146888586,2140.80507273475
O01->S015->S008->O01,S015->S008,"[""S008-MED-01"", ""S015-FOD-01"", ""S015-MED-01"", ""S015-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.053061228390465,0.0,6.053061228390465,2472.356995586148
O01->S008->S009->O01,S008->S009,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.067473084651054,0.0,6.067473084651054,2072.2116581670807
O01->S004->S008->O01,S004->S008,"[""S004-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,6.068600810936243,0.0,6.068600810936243,2206.8050727347504
O01->S008->S005->O01,S008->S005,"[""S005-MED-01"", ""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,6.071602617606042,0.0,6.071602617606042,2218.5439077600704
