primitive_interval,start,end,phase,direct_available,relay_required,direct_margin_lower_bound_db,transport_start_xyz,transport_end_xyz
66,152.67150243364162,152.79306469883414,cruise,True,False,13.347374579521471,"[11179498.513148893, 2559230.2151842727, 372.9093322753906]","[11179498.096507672, 2559231.990380477, 372.9093322753906]"
67,152.79306469883414,153.85062587594004,cruise,True,False,13.192516039423126,"[11179498.096507672, 2559231.990380477, 372.9093322753906]","[11179494.47183369, 2559247.434141621, 372.9093322753906]"
68,153.85062587594004,154.90818705304594,cruise,True,False,13.040176654665544,"[11179494.47183369, 2559247.434141621, 372.9093322753906]","[11179490.84715971, 2559262.877902765, 372.9093322753906]"
69,154.90818705304594,155.96574823012477,cruise,True,False,12.890282693485005,"[11179490.84715971, 2559262.877902765, 372.9093322753906]","[11179487.222485725, 2559278.321663908, 372.9093322753906]"
70,155.96574823012477,157.0233094072036,cruise,True,False,12.742763221478668,"[11179487.222485725, 2559278.321663908, 372.9093322753906]","[11179483.597811742, 2559293.7654250516, 372.9093322753906]"
71,157.0233094072036,158.08087058429598,cruise,True,False,12.597549993828295,"[11179483.597811742, 2559293.7654250516, 372.9093322753906]","[11179479.97313776, 2559309.209186196, 372.9093322753906]"
72,158.08087058429598,159.13843176138835,cruise,True,False,12.454577349098557,"[11179479.97313776, 2559309.209186196, 372.9093322753906]","[11179476.348463777, 2559324.6529473388, 372.9093322753906]"
73,159.13843176138835,159.9917043821415,cruise,True,False,12.340812657817963,"[11179476.348463777, 2559324.6529473388, 372.9093322753906]","[11179473.42396623, 2559337.113444973, 372.9093322753906]"
74,159.9917043821415,160.84497700289467,cruise,True,False,12.228433303673071,"[11179473.42396623, 2559337.113444973, 372.9093322753906]","[11179470.499468682, 2559349.5739426073, 372.9093322753906]"
75,160.84497700289467,161.04926555923385,cruise,True,False,12.20172977807735,"[11179470.499468682, 2559349.5739426073, 372.9093322753906]","[11179469.799292248, 2559352.557206117, 372.9093322753906]"
76,161.04926555923385,161.25355411557302,cruise,True,False,12.175103457068161,"[11179469.799292248, 2559352.557206117, 372.9093322753906]","[11179469.099115813, 2559355.540469626, 372.9093322753906]"
77,161.25355411557302,162.31111529265186,cruise,True,False,12.038482879505608,"[11179469.099115813, 2559355.540469626, 372.9093322753906]","[11179465.47444183, 2559370.9842307693, 372.9093322753906]"
78,162.31111529265186,163.3686764697307,cruise,True,False,11.903864030070665,"[11179465.47444183, 2559370.9842307693, 372.9093322753906]","[11179461.849767847, 2559386.427991913, 372.9093322753906]"
79,163.3686764697307,164.4262376468366,cruise,True,False,11.771192657603095,"[11179461.849767847, 2559386.427991913, 372.9093322753906]","[11179458.225093864, 2559401.8717530565, 372.9093322753906]"
80,164.4262376468366,165.4837988239425,cruise,True,False,11.640416513161483,"[11179458.225093864, 2559401.8717530565, 372.9093322753906]","[11179454.600419883, 2559417.3155142004, 372.9093322753906]"
81,165.4837988239425,166.54136000102133,cruise,True,False,11.511485264581054,"[11179454.600419883, 2559417.3155142004, 372.9093322753906]","[11179450.9757459, 2559432.7592753437, 372.9093322753906]"
82,166.54136000102133,167.59892117810014,cruise,True,False,11.38435041443637,"[11179450.9757459, 2559432.7592753437, 372.9093322753906]","[11179447.351071917, 2559448.203036487, 372.9093322753906]"
83,167.59892117810014,168.36946750772017,cruise,True,False,11.292823511629763,"[11179447.351071917, 2559448.203036487, 372.9093322753906]","[11179444.710109582, 2559459.455466817, 372.9093322753906]"
84,168.36946750772017,169.1400138373402,cruise,True,False,11.202207896802008,"[11179444.710109582, 2559459.455466817, 372.9093322753906]","[11179442.069147252, 2559470.707897147, 372.9093322753906]"
85,169.1400138373402,169.427028684799,cruise,True,False,11.1686846615694,"[11179442.069147252, 2559470.707897147, 372.9093322753906]","[11179441.085435601, 2559474.8992279605, 372.9093322753906]"
86,169.427028684799,169.71404353225782,cruise,True,False,11.135284624977231,"[11179441.085435601, 2559474.8992279605, 372.9093322753906]","[11179440.10172395, 2559479.0905587743, 372.9093322753906]"
87,169.71404353225782,170.7716047093637,cruise,True,False,11.013265173432217,"[11179440.10172395, 2559479.0905587743, 372.9093322753906]","[11179436.47704997, 2559494.5343199177, 372.9093322753906]"
88,170.7716047093637,171.82916588646958,cruise,True,False,10.89286495496708,"[11179436.47704997, 2559494.5343199177, 372.9093322753906]","[11179432.852375984, 2559509.9780810615, 372.9093322753906]"
89,171.82916588646958,172.8867270635484,cruise,True,False,10.774043531990912,"[11179432.852375984, 2559509.9780810615, 372.9093322753906]","[11179429.227702003, 2559525.421842205, 372.9093322753906]"
