sortie,interval,time_start,time_end,transport_endpoint_source,relay_endpoint_source,gateway_endpoint_source,same_time_axis,pass
Q2-003,428,19812.753458951498,19813.867178448603,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,429,19813.867178448603,19814.304251378617,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,430,19814.304251378617,19814.74132430863,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,431,19814.74132430863,19815.417970875755,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,432,19815.417970875755,19816.09461744288,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,433,19816.09461744288,19817.208336939984,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,434,19817.208336939984,19818.32205643709,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,435,19818.32205643709,19819.017140527827,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,436,19819.017140527827,19819.712224618565,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,437,19819.712224618565,19820.13086002495,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,438,19820.13086002495,19820.549495431336,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,439,19820.549495431336,19821.663214928456,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,440,19821.663214928456,19822.776934425576,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,441,19822.776934425576,19823.730029677165,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,442,19823.730029677165,19824.683124928753,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,443,19824.683124928753,19824.843749174273,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,444,19824.843749174273,19825.004373419793,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,445,19825.004373419793,19826.118092916928,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,446,19826.118092916928,19827.231812414062,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,447,19827.231812414062,19828.345531911167,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,448,19828.345531911167,19829.459251408272,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,449,19829.459251408272,19829.556638323604,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,450,19829.556638323604,19829.654025238935,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,451,19829.654025238935,19830.67035782071,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,452,19830.67035782071,19831.686690402483,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,453,19831.686690402483,19832.800409899617,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,454,19832.800409899617,19833.91412939675,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,455,19833.91412939675,19834.269527472807,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,456,19834.269527472807,19834.624925548862,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,457,19834.624925548862,19835.383246969912,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,458,19835.383246969912,19836.14156839096,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,459,19836.14156839096,19837.25528788808,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
