resource_id,task_id,busy_start,busy_end,phase
U08,K26-023,11226.105497512535,11334.32116401644,climb
U08,K26-023,11334.32116401644,11850.699902423636,cruise
U08,K26-023,11850.699902423636,11935.669485553517,descent
U08,K26-023,12043.669485553517,12111.645152057425,climb
U08,K26-023,12111.645152057425,12628.021405309744,cruise
U08,K26-023,12628.021405309744,12763.290988439627,descent
U07,K26-024,12266.02932078156,12345.51367625031,climb
U07,K26-024,12345.51367625031,12698.981836413712,cruise
U07,K26-024,12698.981836413712,12764.68728074965,descent
U07,K26-024,12872.68728074965,12925.2516362184,climb
U07,K26-024,12925.2516362184,13278.719493496443,cruise
U07,K26-024,13278.719493496443,13378.07493783238,descent
U08,K26-025,13445.002391342168,13540.361527084357,climb
U08,K26-025,13540.361527084357,13752.429790024416,cruise
U08,K26-025,13752.429790024416,13778.078709702151,descent
U08,K26-025,13886.078709702151,13906.59784544434,climb
U08,K26-025,13906.59784544434,14118.667357726681,cruise
U08,K26-025,14118.667357726681,14237.866277404415,descent
U07,K26-026,14490.118574335776,14588.202307245932,climb
U07,K26-026,14588.202307245932,15128.841286966595,cruise
U07,K26-026,15128.841286966595,15179.845953104292,descent
U07,K26-026,15287.845953104292,15328.649686014447,climb
U07,K26-026,15328.649686014447,15869.273794250343,cruise
U07,K26-026,15869.273794250343,15991.878460388038,descent
