primitive_index,start,end,phase,direct_available,relay_required,direct_margin
560,1134.8377773800244,1135.8783885429102,cruise,False,True,-4.902565244038357
561,1135.8783885429102,1136.918999705796,cruise,False,True,-4.921922965283457
562,1136.918999705796,1137.9596108686553,cruise,False,True,-4.941238125374468
563,1137.9596108686553,1139.0002220315146,cruise,False,True,-4.960510908892431
564,1139.0002220315146,1139.5817935955745,cruise,False,True,-4.9712635944003125
565,1139.5817935955745,1140.1633651596344,cruise,False,True,-4.982003133112826
566,1140.1633651596344,1140.6224047584337,cruise,False,True,-4.9904706834851424
567,1140.6224047584337,1141.081444357233,cruise,False,True,-4.998930078628092
568,1141.081444357233,1142.1220555201187,cruise,False,True,-5.01807682813066
569,1142.1220555201187,1143.1626666830045,cruise,False,True,-5.0371819276483905
570,1143.1626666830045,1144.2032778458638,cruise,False,True,-5.056245555943931
571,1144.2032778458638,1145.243889008723,cruise,False,True,-5.075267890644113
572,1145.243889008723,1146.2845001715955,cruise,False,True,-5.094249108252171
573,1146.2845001715955,1147.3251113344681,cruise,False,True,-5.1131893841531735
574,1147.3251113344681,1148.3657224973406,cruise,False,True,-5.1320888926278485
575,1148.3657224973406,1149.406333660213,cruise,False,True,-5.150947806858326
576,1149.406333660213,1150.4469448230723,cruise,False,True,-5.169766298936736
577,1150.4469448230723,1151.4875559859315,cruise,False,True,-5.188544539879061
578,1151.4875559859315,1152.351317425895,cruise,False,True,-5.2041010077490455
579,1152.351317425895,1153.2150788658587,cruise,False,True,-5.219629956876005
580,1153.2150788658587,1153.3919285887675,cruise,False,True,-5.222806026336741
581,1153.3919285887675,1153.5687783116764,cruise,False,True,-5.225980947067214
582,1153.5687783116764,1154.609389474549,cruise,False,True,-5.244639450024437
583,1154.609389474549,1155.6500006374215,cruise,False,True,-5.263258375286313
584,1155.6500006374215,1156.6906118002807,cruise,False,True,-5.281837888599767
585,1156.6906118002807,1157.7312229631398,cruise,False,True,-5.300378154688161
586,1157.7312229631398,1158.7718341260256,cruise,False,True,-5.318879337253662
587,1158.7718341260256,1159.8124452889115,cruise,False,True,-5.337341598988402
588,1159.8124452889115,1160.8530564517707,cruise,False,True,-5.355765101581397
589,1160.8530564517707,1161.89366761463,cruise,False,True,-5.374150005728396
590,1161.89366761463,1162.9342787774892,cruise,False,True,-5.392496471139367
591,1162.9342787774892,1163.9748899403485,cruise,False,True,-5.410804656542695
592,1163.9748899403485,1165.0155011032343,cruise,False,True,-5.42907471970004
593,1165.0155011032343,1166.05611226612,cruise,False,True,-5.447306817408759
594,1166.05611226612,1166.1614524184338,cruise,False,True,-5.449150326581602
595,1166.1614524184338,1166.2667925707476,cruise,False,True,-5.450993448469191
596,1166.2667925707476,1167.202063581293,cruise,False,True,-5.46734079589865
597,1167.202063581293,1168.1373345918385,cruise,False,True,-5.483657738899524
598,1168.1373345918385,1169.177945754711,cruise,False,True,-5.50177687153257
599,1169.177945754711,1170.2185569175836,cruise,False,True,-5.51985865643357
600,1170.2185569175836,1171.259168080456,cruise,False,True,-5.537903245698743
601,1171.259168080456,1172.2997792433284,cruise,False,True,-5.555910790510609
602,1172.2997792433284,1173.3403904061877,cruise,False,True,-5.573881441139832
603,1173.3403904061877,1174.381001569047,cruise,False,True,-5.5918153469521314
604,1174.381001569047,1175.4216127319328,cruise,False,True,-5.609712656422545
605,1175.4216127319328,1176.4622238948186,cruise,False,True,-5.627573517131651
606,1176.4622238948186,1177.5028350576777,cruise,False,True,-5.645398075782438
607,1177.5028350576777,1178.543446220537,cruise,False,True,-5.663186478201524
608,1178.543446220537,1178.9309762480868,cruise,False,True,-5.669801778917474
609,1178.9309762480868,1179.3185062756365,cruise,False,True,-5.676412092825643
