primitive_interval,dem_cell,entry_parameter,exit_parameter,los_height_entry,los_height_exit,minimum_los_height,dem_height,clearance_lower_bound,pass,obstructed
14,224546838,0.0,1.0,244.9081797312324,244.9081797312324,244.9081797312324,140.24159240722656,104.66658732400583,True,False
14,334567128,0.0,1.0,231.1164090862789,231.1164090862789,231.1164090862789,140.24159240722656,90.87481667905234,True,False
14,339073385,0.0,1.0,230.55152000036367,230.55152000036367,230.55152000036367,135.11814880371094,95.43337119665273,True,False
14,343579642,0.0,1.0,229.9866309144484,229.9866309144484,229.9866309144484,135.11814880371094,94.86848211073746,True,False
14,458106189,0.0,1.0,215.62997118339604,215.62997118339604,215.62997118339604,133.5413055419922,82.08866564140385,True,False
14,572632736,0.0,1.0,201.27331145234365,201.27331145234365,201.27331145234365,133.5413055419922,67.73200591035146,True,False
14,685639179,0.0,1.0,187.10720680893905,187.10720680893905,187.10720680893905,132.31642150878906,54.79078530014999,True,False
14,798645623,0.0,1.0,172.9411021655344,172.9411021655344,172.9411021655344,132.31642150878906,40.62468065674534,True,False
14,800165727,0.0,1.0,172.75054707788667,172.75054707788667,172.75054707788667,130.80474853515625,41.945798542730415,True,False
14,801685831,0.0,1.0,172.55999199023893,172.55999199023893,172.55999199023893,130.80474853515625,41.75524345508268,True,False
14,900842915,0.0,1.0,160.12999599511946,160.12999599511946,160.12999599511946,128.7255401611328,31.404455833986646,True,False
14,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
14,102758025,0.0,1.0,260.1752123815524,260.1752123815524,260.1752123815524,144.3026123046875,115.8726000768649,True,False
14,205516051,0.0,1.0,247.29381465568295,247.29381465568295,247.29381465568295,144.3026123046875,102.99120235099545,True,False
14,304230873,0.0,1.0,234.91925912885256,234.91925912885256,234.91925912885256,140.24159240722656,94.677666721626,True,False
14,402945696,0.0,1.0,222.54470360202214,222.54470360202214,222.54470360202214,140.24159240722656,82.30311119479558,True,False
14,406988899,0.0,1.0,222.03786140331258,222.03786140331258,222.03786140331258,135.11814880371094,86.91971259960164,True,False
14,411032102,0.0,1.0,221.53101920460304,221.53101920460304,221.53101920460304,135.11814880371094,86.4128704008921,True,False
14,513790127,0.0,1.0,208.64962147889833,208.64962147889833,208.64962147889833,133.5413055419922,75.10831593690614,True,False
14,616548152,0.0,1.0,195.7682237531936,195.7682237531936,195.7682237531936,133.5413055419922,62.22691821120142,True,False
14,717942277,0.0,1.0,183.05780005054942,183.05780005054942,183.05780005054942,132.31642150878906,50.741378541760355,True,False
14,819336401,0.0,1.0,170.34737634790525,170.34737634790525,170.34737634790525,132.31642150878906,38.03095483911619,True,False
